epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7105,1.6975,2.14827,1.78819,0.11951,0.16467,0.10574,0.05549,3.04494,5.46421,3.07892,0.0700824,0.00332418,0.00332418
2,121.481,1.70874,1.96457,1.79015,0.57788,0.27749,0.33921,0.17695,1.95979,3.61314,1.9825,0.0400275,0.00660258,0.00660258
3,178.55,1.59441,1.75946,1.70646,0.53157,0.38904,0.32858,0.15356,2.00852,8.94019,2.18299,0.00991757,0.00982599,0.00982599
4,235.43,1.56449,1.70804,1.68132,0.53976,0.51567,0.42232,0.21461,1.77465,9.99635,1.98106,0.0097525,0.0097525,0.0097525
5,294.054,1.54982,1.66203,1.66397,0.66552,0.53419,0.58478,0.30018,1.72243,3.89457,1.8245,0.00967,0.00967,0.00967
6,353.627,1.49928,1.60608,1.62623,0.50215,0.42128,0.4501,0.25299,1.68022,2.66795,1.82779,0.0095875,0.0095875,0.0095875
7,410.776,1.45159,1.5328,1.58673,0.57809,0.4032,0.43979,0.2158,1.86652,3.51185,1.93223,0.009505,0.009505,0.009505
8,468.091,1.4543,1.50069,1.57929,0.58629,0.52593,0.55298,0.31388,1.58733,4.46171,1.83607,0.0094225,0.0094225,0.0094225
9,529.04,1.41757,1.46918,1.55601,0.70213,0.43731,0.53487,0.29594,1.64291,2.81152,1.75175,0.00934,0.00934,0.00934
10,587.542,1.41676,1.44934,1.56091,0.72123,0.618,0.68507,0.38211,1.4515,3.50639,1.63875,0.0092575,0.0092575,0.0092575
11,645.026,1.38439,1.41282,1.53439,0.68472,0.51539,0.59323,0.33365,1.63492,14.116,1.76539,0.009175,0.009175,0.009175
12,702.555,1.38213,1.39556,1.52984,0.67087,0.62476,0.66119,0.37961,1.45852,6.98889,1.61602,0.0090925,0.0090925,0.0090925
13,759.766,1.35805,1.3646,1.52104,0.74798,0.62223,0.71238,0.40704,1.45153,1.90488,1.59107,0.00901,0.00901,0.00901
14,817.385,1.35344,1.35746,1.5098,0.69565,0.64183,0.7059,0.40131,1.45206,2.57989,1.62183,0.0089275,0.0089275,0.0089275
15,874.876,1.34389,1.34334,1.51055,0.73107,0.62072,0.70497,0.41184,1.45608,2.24351,1.59076,0.008845,0.008845,0.008845
16,932.091,1.33205,1.31373,1.49689,0.73322,0.52796,0.63301,0.37399,1.44784,2.61333,1.62989,0.0087625,0.0087625,0.0087625
17,989.233,1.33139,1.29858,1.49357,0.72958,0.62126,0.70208,0.40106,1.48176,3.047,1.66736,0.00868,0.00868,0.00868
