epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9165,1.8286,1.84864,1.593,0.03836,0.05437,0.01002,0.00322,2.51877,466.216,2.72622,0.070124,0.00331956,0.00331956
2,81.7988,1.85917,1.57762,1.69915,0.70967,0.35122,0.42024,0.21535,2.23359,2.81045,1.9616,0.0400691,0.00659801,0.00659801
3,119.953,1.73453,1.40869,1.59308,0.00863,0.53981,0.00752,0.00392,1.99107,inf,1.86475,0.00995919,0.00982145,0.00982145
4,157.915,1.6832,1.37444,1.57099,0.73491,0.66211,0.74575,0.43758,1.58341,4.81752,1.57062,0.0097525,0.0097525,0.0097525
5,195.817,1.61537,1.27356,1.53275,0.75398,0.58252,0.67404,0.42284,1.5403,1.87326,1.54879,0.00967,0.00967,0.00967
6,233.771,1.54642,1.19496,1.47986,0.84029,0.60274,0.71113,0.42179,1.5976,1.87492,1.57064,0.0095875,0.0095875,0.0095875
7,272.027,1.50081,1.12997,1.4408,0.81492,0.74951,0.82421,0.48748,1.44631,2.67383,1.43032,0.009505,0.009505,0.009505
8,310.334,1.46681,1.09445,1.4114,0.818,0.61089,0.71383,0.44974,1.49819,1.88882,1.47736,0.0094225,0.0094225,0.0094225
9,348.531,1.43327,1.04455,1.4058,0.88109,0.69515,0.80882,0.4918,1.42116,3.3323,1.41387,0.00934,0.00934,0.00934
10,386.629,1.40859,1.0453,1.38478,0.80232,0.70291,0.7986,0.47296,1.43375,1.58201,1.42647,0.0092575,0.0092575,0.0092575
11,424.675,1.40545,1.02928,1.38099,0.84427,0.66318,0.8016,0.49656,1.38964,1.49186,1.41601,0.009175,0.009175,0.009175
12,462.827,1.3764,1.00113,1.36612,0.7778,0.80886,0.85096,0.53826,1.24441,1.32917,1.32848,0.0090925,0.0090925,0.0090925
13,501.632,1.38127,0.9956,1.37897,0.79878,0.6,0.702,0.40643,1.49874,20.7375,1.49614,0.00901,0.00901,0.00901
14,539.68,1.37002,0.98665,1.3755,0.8578,0.63251,0.75244,0.49506,1.41476,1.79744,1.46073,0.0089275,0.0089275,0.0089275
15,577.687,1.36788,0.95416,1.34963,0.7883,0.62718,0.70562,0.46004,1.52993,1.71497,1.4944,0.008845,0.008845,0.008845
16,615.957,1.33991,0.93697,1.3371,0.88815,0.78636,0.88415,0.5833,1.25729,1.29866,1.30747,0.0087625,0.0087625,0.0087625
17,654.298,1.31737,0.90754,1.32581,0.87183,0.81942,0.88383,0.56081,1.32529,1.30087,1.37026,0.00868,0.00868,0.00868
18,692.431,1.3096,0.90004,1.32253,0.81165,0.78641,0.88268,0.57492,1.21355,1.29154,1.28181,0.0085975,0.0085975,0.0085975
19,730.485,1.31488,0.91289,1.33396,0.85134,0.77842,0.87672,0.56358,1.23468,1.19093,1.29261,0.008515,0.008515,0.008515
20,768.486,1.29652,0.88673,1.30864,0.88933,0.77282,0.87694,0.56415,1.37742,1.05884,1.39489,0.0084325,0.0084325,0.0084325
21,806.448,1.29841,0.88458,1.32087,0.8611,0.67409,0.7805,0.51412,1.40284,1.66011,1.39078,0.00835,0.00835,0.00835
22,844.818,1.27545,0.86811,1.30215,0.89602,0.78642,0.88247,0.57779,1.29834,2.23055,1.31921,0.0082675,0.0082675,0.0082675
23,883.118,1.26362,0.86116,1.28651,0.91387,0.79223,0.90704,0.59773,1.19255,1.58639,1.27756,0.008185,0.008185,0.008185
24,921.297,1.28043,0.84388,1.29956,0.88426,0.80109,0.87928,0.58759,1.24086,1.09133,1.29268,0.0081025,0.0081025,0.0081025
25,959.661,1.26546,0.85699,1.29955,0.89483,0.79299,0.89278,0.59599,1.18382,2.0581,1.26379,0.00802,0.00802,0.00802
26,997.722,1.24157,0.82142,1.27976,0.88778,0.79883,0.89552,0.5986,1.17576,1.2951,1.26513,0.0079375,0.0079375,0.0079375
27,1035.9,1.24263,0.80707,1.27488,0.89755,0.66344,0.78456,0.53258,1.28135,1.78537,1.37364,0.007855,0.007855,0.007855
28,1074.07,1.23531,0.80956,1.27615,0.90884,0.77431,0.88523,0.58703,1.21302,1.13459,1.2837,0.0077725,0.0077725,0.0077725
29,1112.23,1.23036,0.80735,1.2761,0.8957,0.7837,0.89758,0.60775,1.20187,1.0073,1.29692,0.00769,0.00769,0.00769
30,1150.36,1.21569,0.80156,1.26317,0.90591,0.85631,0.90832,0.6139,1.14371,1.83258,1.24734,0.0076075,0.0076075,0.0076075
31,1188.48,1.21322,0.79214,1.26214,0.88431,0.83689,0.91963,0.62608,1.15908,1.03737,1.23672,0.007525,0.007525,0.007525
32,1226.7,1.20309,0.78481,1.25036,0.8599,0.85825,0.90774,0.62565,1.13342,1.31129,1.24933,0.0074425,0.0074425,0.0074425
33,1264.93,1.18912,0.77964,1.2528,0.88803,0.89319,0.9233,0.63274,1.13262,1.03704,1.2312,0.00736,0.00736,0.00736
34,1303.01,1.18708,0.76923,1.24134,0.88096,0.85049,0.91215,0.64321,1.13025,0.95733,1.19938,0.0072775,0.0072775,0.0072775
35,1341.13,1.19531,0.76535,1.24615,0.92389,0.86408,0.92072,0.6408,1.1298,0.90603,1.24479,0.007195,0.007195,0.007195
36,1379.47,1.18128,0.75352,1.24276,0.89003,0.82718,0.89959,0.62086,1.19329,1.81313,1.27747,0.0071125,0.0071125,0.0071125
37,1417.7,1.18633,0.74514,1.23354,0.89323,0.84272,0.91091,0.62601,1.17643,1.02187,1.27002,0.00703,0.00703,0.00703
38,1455.74,1.19017,0.75626,1.24676,0.91178,0.84078,0.9178,0.63951,1.18418,0.95467,1.29022,0.0069475,0.0069475,0.0069475
39,1494.07,1.16633,0.72961,1.23384,0.9406,0.84272,0.93798,0.65802,1.04859,1.13713,1.18512,0.006865,0.006865,0.006865
40,1532.38,1.18422,0.7516,1.23907,0.92998,0.86796,0.9433,0.65378,1.09268,1.05121,1.22267,0.0067825,0.0067825,0.0067825
41,1570.66,1.16057,0.72807,1.2214,0.93096,0.88738,0.94252,0.6534,1.09797,0.97893,1.23474,0.0067,0.0067,0.0067
42,1608.91,1.14531,0.72076,1.2133,0.91957,0.86584,0.92141,0.64698,1.09937,1.46596,1.23081,0.0066175,0.0066175,0.0066175
43,1647.17,1.15473,0.71413,1.22814,0.86947,0.86408,0.92377,0.63352,1.0958,1.28968,1.20659,0.006535,0.006535,0.006535
44,1685.22,1.14335,0.7077,1.21815,0.93365,0.8835,0.94116,0.67095,1.04639,1.00811,1.17974,0.0064525,0.0064525,0.0064525
45,1723.44,1.15446,0.72377,1.23158,0.91267,0.90097,0.93074,0.64685,1.09757,1.09759,1.21557,0.00637,0.00637,0.00637
46,1761.68,1.14568,0.71413,1.22405,0.90772,0.87856,0.9408,0.6596,1.06333,1.53485,1.17778,0.0062875,0.0062875,0.0062875
47,1799.81,1.14207,0.70558,1.226,0.92885,0.90097,0.9412,0.66192,1.05728,1.13089,1.19489,0.006205,0.006205,0.006205
48,1838.03,1.14036,0.70554,1.21524,0.92628,0.90277,0.9396,0.66461,1.04178,1.23168,1.16429,0.0061225,0.0061225,0.0061225
49,1876.09,1.12536,0.69446,1.20585,0.92314,0.88155,0.92656,0.64698,1.07692,1.0857,1.21118,0.00604,0.00604,0.00604
50,1914.21,1.11354,0.68229,1.20309,0.90611,0.88077,0.92902,0.64262,1.1159,1.2261,1.20475,0.0059575,0.0059575,0.0059575
51,1952.36,1.12144,0.68846,1.20964,0.92978,0.87412,0.93475,0.66532,1.05404,1.06498,1.16911,0.005875,0.005875,0.005875
52,1990.41,1.1183,0.68807,1.19908,0.93268,0.88773,0.94139,0.67768,1.07524,0.84209,1.19506,0.0057925,0.0057925,0.0057925
53,2028.63,1.11498,0.67324,1.19806,0.93512,0.8955,0.93607,0.66867,1.01681,0.8756,1.15821,0.00571,0.00571,0.00571
54,2066.89,1.10805,0.67936,1.20112,0.90116,0.91456,0.93325,0.67443,0.99564,0.96375,1.16532,0.0056275,0.0056275,0.0056275
55,2104.87,1.10347,0.66823,1.18444,0.91929,0.89515,0.94736,0.6662,1.00787,1.18986,1.15625,0.005545,0.005545,0.005545
56,2142.87,1.12225,0.69493,1.20821,0.9086,0.88797,0.93547,0.6667,1.02835,0.91443,1.17254,0.0054625,0.0054625,0.0054625
57,2181.04,1.10072,0.6645,1.1887,0.90874,0.90877,0.94596,0.67663,1.01788,0.93873,1.15149,0.00538,0.00538,0.00538
58,2219.08,1.10571,0.67265,1.19349,0.90499,0.8932,0.93373,0.66251,1.04929,1.09107,1.17419,0.0052975,0.0052975,0.0052975
59,2256.99,1.10456,0.66997,1.18796,0.90358,0.90987,0.93825,0.67248,1.05637,0.82191,1.1759,0.005215,0.005215,0.005215
60,2295.14,1.07489,0.6488,1.17973,0.93356,0.87573,0.9414,0.68158,0.9962,0.83115,1.15528,0.0051325,0.0051325,0.0051325
61,2333.31,1.08145,0.65453,1.17744,0.93435,0.89709,0.94735,0.68283,0.99173,0.95199,1.13524,0.00505,0.00505,0.00505
62,2371.45,1.08098,0.64705,1.17929,0.94415,0.88738,0.94371,0.68616,1.00047,0.86841,1.15696,0.0049675,0.0049675,0.0049675
63,2409.65,1.0603,0.64,1.16944,0.92839,0.90097,0.92972,0.66693,1.00764,1.25499,1.14594,0.004885,0.004885,0.004885
