epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.96,1.91195,2.18953,1.94654,0.12629,0.1147,0.03977,0.01659,2.16618,11.3408,2.27468,0.0700589,0.00332678,0.00332678
2,233.114,1.89132,1.93542,1.97744,0.64308,0.31957,0.35165,0.15875,2.17537,10.7552,2.3769,0.040015,0.00661616,0.00661616
3,344.004,1.78583,1.7935,1.90412,0.74566,0.51706,0.59812,0.337,1.7411,5.41204,1.97552,0.00992703,0.00986154,0.00986154
4,453.318,1.67373,1.65146,1.79905,0.78813,0.54764,0.60655,0.35853,1.77762,2.19306,1.9194,0.009802,0.009802,0.009802
5,563.777,1.65362,1.62111,1.78315,0.74076,0.50987,0.57192,0.36306,1.65481,2.276,1.83304,0.009736,0.009736,0.009736
6,673.669,1.5689,1.49954,1.72495,0.87464,0.58874,0.69475,0.45285,1.49349,2.0238,1.70371,0.00967,0.00967,0.00967
7,782.878,1.52757,1.44661,1.68601,0.82731,0.57451,0.67215,0.41337,1.47,6.88397,1.72625,0.009604,0.009604,0.009604
8,891.937,1.50042,1.4132,1.65883,0.87679,0.59964,0.73823,0.48548,1.39043,1.6156,1.66991,0.009538,0.009538,0.009538
9,1000.8,1.46354,1.33699,1.62267,0.84493,0.62298,0.74955,0.49391,1.43882,1.64315,1.65616,0.009472,0.009472,0.009472
10,1109.56,1.46618,1.33909,1.62472,0.86389,0.54578,0.67707,0.44441,1.48618,1.77218,1.71097,0.009406,0.009406,0.009406
11,1219.42,1.42289,1.2787,1.58819,0.87257,0.60862,0.74059,0.51275,1.43121,1.74615,1.64092,0.00934,0.00934,0.00934
12,1328.57,1.4075,1.26538,1.5841,0.85316,0.60682,0.72998,0.49674,1.3109,1.51827,1.51027,0.009274,0.009274,0.009274
13,1439.81,1.40223,1.25529,1.56873,0.83093,0.69838,0.8158,0.54522,1.3356,1.85299,1.495,0.009208,0.009208,0.009208
14,1548.68,1.38186,1.20898,1.55991,0.87448,0.63555,0.76957,0.52816,1.24078,2.31374,1.48812,0.009142,0.009142,0.009142
15,1659.09,1.38459,1.19061,1.54659,0.84344,0.68941,0.81843,0.54691,1.27804,1.91766,1.54337,0.009076,0.009076,0.009076
16,1769.55,1.3549,1.17156,1.51867,0.8452,0.63734,0.76456,0.50784,1.35382,1.40541,1.53408,0.00901,0.00901,0.00901
17,1878.67,1.36384,1.16666,1.54315,0.87798,0.69659,0.8288,0.54104,1.38545,1.37437,1.57481,0.008944,0.008944,0.008944
18,1989.16,1.36499,1.15065,1.54514,0.83744,0.69365,0.81569,0.5527,1.3375,1.22726,1.52375,0.008878,0.008878,0.008878
19,2099.72,1.36667,1.14905,1.52666,0.83227,0.7702,0.85882,0.58966,1.27188,1.16017,1.5276,0.008812,0.008812,0.008812
20,2210.23,1.33456,1.12531,1.52037,0.81835,0.7603,0.84884,0.57369,1.24259,1.24465,1.44106,0.008746,0.008746,0.008746
21,2319.91,1.31301,1.08139,1.48192,0.88231,0.74147,0.8664,0.604,1.27492,1.19741,1.49711,0.00868,0.00868,0.00868
22,2429.29,1.34489,1.1155,1.5222,0.89376,0.70377,0.85017,0.58359,1.29122,1.10181,1.46618,0.008614,0.008614,0.008614
23,2537.9,1.30141,1.0639,1.4866,0.84482,0.73609,0.84031,0.5696,1.28581,1.22672,1.52069,0.008548,0.008548,0.008548
24,2647.76,1.29965,1.06695,1.48681,0.84095,0.74865,0.85913,0.58989,1.18873,1.37423,1.44044,0.008482,0.008482,0.008482
25,2756.68,1.30151,1.05492,1.48596,0.83981,0.77738,0.87008,0.5888,1.29852,1.05356,1.49089,0.008416,0.008416,0.008416
26,2865.55,1.29071,1.04513,1.46686,0.89931,0.68043,0.82783,0.57256,1.2394,1.4061,1.47322,0.00835,0.00835,0.00835
27,2974.62,1.28836,1.04732,1.4765,0.85715,0.71634,0.84561,0.5836,1.27505,1.18266,1.51397,0.008284,0.008284,0.008284
28,3084.86,1.26264,1.00823,1.4441,0.84734,0.79718,0.87721,0.60081,1.19623,1.03731,1.41025,0.008218,0.008218,0.008218
29,3197.52,1.29275,1.04869,1.47706,0.89612,0.73788,0.87874,0.623,1.19546,1.0612,1.42754,0.008152,0.008152,0.008152
30,3308.56,1.25071,0.99413,1.44557,0.86106,0.75943,0.86822,0.60816,1.19864,1.10978,1.43224,0.008086,0.008086,0.008086
31,3419.79,1.26176,1.00408,1.43801,0.87608,0.73968,0.85835,0.59992,1.17347,1.25608,1.39638,0.00802,0.00802,0.00802
32,3529.46,1.25764,0.98686,1.45023,0.86963,0.79533,0.88407,0.61735,1.17677,0.99115,1.41479,0.007954,0.007954,0.007954
33,3638.82,1.25878,0.98725,1.44356,0.87242,0.76122,0.87809,0.60924,1.18317,1.00552,1.4467,0.007888,0.007888,0.007888
34,3799.97,1.24948,0.99013,1.43808,0.8628,0.80163,0.89439,0.63788,1.14584,0.96409,1.3973,0.007822,0.007822,0.007822
35,4028.02,1.2317,0.95687,1.41873,0.8861,0.79615,0.89212,0.62694,1.13536,1.01548,1.36424,0.007756,0.007756,0.007756
36,4258.64,1.25346,0.96415,1.44487,0.855,0.8061,0.90208,0.63785,1.12804,1.15033,1.37458,0.00769,0.00769,0.00769
37,4369.27,1.22152,0.95614,1.41166,0.89616,0.79023,0.90461,0.6309,1.14858,0.94261,1.36814,0.007624,0.007624,0.007624
38,4478.74,1.24256,0.96264,1.43123,0.87706,0.80692,0.90237,0.63525,1.16502,0.91303,1.41308,0.007558,0.007558,0.007558
39,4652.8,1.23315,0.95195,1.43075,0.87619,0.83124,0.91019,0.65837,1.12707,0.96146,1.39487,0.007492,0.007492,0.007492
40,4778.89,1.23317,0.94425,1.43203,0.89745,0.81149,0.90041,0.64334,1.15443,0.90508,1.42507,0.007426,0.007426,0.007426
41,4889.38,1.24331,0.96786,1.43994,0.86089,0.79533,0.90503,0.64318,1.15436,0.90669,1.39824,0.00736,0.00736,0.00736
42,4999.24,1.21723,0.91758,1.41107,0.85751,0.84275,0.90771,0.65594,1.12993,0.8877,1.38754,0.007294,0.007294,0.007294
43,5109.64,1.20873,0.92329,1.40358,0.88667,0.82406,0.91738,0.65678,1.13827,0.97032,1.38673,0.007228,0.007228,0.007228
44,5219.94,1.19288,0.90919,1.39585,0.86404,0.82765,0.91237,0.65826,1.09452,0.90214,1.34072,0.007162,0.007162,0.007162
45,5328.89,1.18909,0.89138,1.38912,0.90501,0.82406,0.91632,0.66218,1.13202,0.85384,1.40037,0.007096,0.007096,0.007096
46,5437.88,1.19125,0.9031,1.39828,0.86567,0.83303,0.91348,0.64676,1.15655,0.89036,1.39841,0.00703,0.00703,0.00703
47,5547.28,1.18692,0.89056,1.38595,0.87682,0.83064,0.9138,0.6579,1.09491,0.97528,1.36506,0.006964,0.006964,0.006964
48,5658.61,1.19729,0.88761,1.39939,0.91664,0.80943,0.91776,0.66723,1.10562,0.84038,1.37086,0.006898,0.006898,0.006898
49,5769.5,1.18426,0.88266,1.39058,0.89371,0.80969,0.9222,0.66535,1.09876,0.88555,1.35987,0.006832,0.006832,0.006832
50,5917.26,1.17216,0.8685,1.37797,0.87307,0.82741,0.91438,0.65655,1.10892,0.9061,1.34366,0.006766,0.006766,0.006766
51,6105.98,1.16745,0.86099,1.38022,0.84181,0.84022,0.91063,0.65282,1.10249,0.89785,1.37628,0.0067,0.0067,0.0067
52,6366.71,1.17518,0.89159,1.38455,0.87064,0.85099,0.9183,0.65383,1.12831,0.92277,1.37019,0.006634,0.006634,0.006634
53,6642.82,1.18532,0.86962,1.39007,0.88705,0.87415,0.93056,0.67418,1.06023,0.90758,1.33501,0.006568,0.006568,0.006568
54,6916.22,1.19781,0.90003,1.39433,0.86388,0.85452,0.91424,0.65449,1.0959,0.92027,1.34302,0.006502,0.006502,0.006502
55,7133.84,1.16373,0.86596,1.38032,0.83382,0.90126,0.92645,0.66865,1.08287,0.83308,1.34618,0.006436,0.006436,0.006436
56,7244.38,1.16005,0.86081,1.37281,0.89554,0.8061,0.91312,0.66296,1.06169,0.86234,1.32641,0.00637,0.00637,0.00637
57,7355.04,1.16194,0.85785,1.36951,0.88779,0.8456,0.92077,0.66917,1.0744,0.92676,1.33403,0.006304,0.006304,0.006304
58,7465.17,1.14106,0.85305,1.36849,0.88009,0.84381,0.91698,0.6725,1.06652,0.83804,1.3112,0.006238,0.006238,0.006238
59,7576.48,1.15326,0.84181,1.36918,0.87645,0.8406,0.9201,0.669,1.0928,0.83621,1.33486,0.006172,0.006172,0.006172
60,7806.54,1.14553,0.83319,1.35706,0.87281,0.86715,0.92816,0.6765,1.07248,0.79742,1.31895,0.006106,0.006106,0.006106
61,8004.5,1.14776,0.82545,1.35675,0.89815,0.85817,0.92869,0.67553,1.06117,0.84031,1.30838,0.00604,0.00604,0.00604
62,8278.85,1.14582,0.83111,1.36461,0.9216,0.83662,0.93046,0.67747,1.07306,0.81529,1.3179,0.005974,0.005974,0.005974
63,8559.09,1.14259,0.84088,1.35828,0.92259,0.83451,0.92562,0.67278,1.07156,0.87641,1.3321,0.005908,0.005908,0.005908
64,8840.93,1.14668,0.84702,1.36385,0.90292,0.85996,0.92494,0.67435,1.07297,0.83907,1.32385,0.005842,0.005842,0.005842
65,9119.96,1.14059,0.82769,1.35697,0.88113,0.86503,0.927,0.6793,1.05043,0.78719,1.33072,0.005776,0.005776,0.005776
66,9403.57,1.14516,0.82321,1.36339,0.87538,0.87018,0.92739,0.67559,1.06863,0.80062,1.34925,0.00571,0.00571,0.00571
67,9684.55,1.12677,0.81626,1.35506,0.91273,0.85637,0.92918,0.68115,1.08469,0.82734,1.33936,0.005644,0.005644,0.005644
68,9858.6,1.10921,0.79744,1.33401,0.93174,0.8456,0.93269,0.68017,1.0427,0.79669,1.31795,0.005578,0.005578,0.005578
69,9967.67,1.11491,0.79509,1.33556,0.89933,0.86355,0.93058,0.68963,1.03136,0.77201,1.30151,0.005512,0.005512,0.005512
70,10078.5,1.0974,0.78439,1.32634,0.92494,0.85996,0.93496,0.69242,1.02929,0.78321,1.3009,0.005446,0.005446,0.005446
71,10189.3,1.12205,0.81462,1.34346,0.91472,0.87433,0.93773,0.68317,1.0384,0.76953,1.31606,0.00538,0.00538,0.00538
72,10446.2,1.11296,0.80028,1.33915,0.8965,0.85278,0.93184,0.6845,1.03988,0.7739,1.31954,0.005314,0.005314,0.005314
73,10726.1,1.11528,0.78747,1.3446,0.90038,0.85996,0.93472,0.69137,1.03231,0.76721,1.30694,0.005248,0.005248,0.005248
74,11011,1.1112,0.78965,1.3385,0.90416,0.88072,0.93689,0.69169,1.02836,0.75645,1.30383,0.005182,0.005182,0.005182
75,11296.3,1.10046,0.78049,1.3393,0.89862,0.89115,0.94226,0.69132,1.02382,0.77194,1.30353,0.005116,0.005116,0.005116
76,11585.9,1.10831,0.79508,1.33696,0.90125,0.87792,0.93888,0.69265,1.03632,0.75385,1.31081,0.00505,0.00505,0.00505
77,11870.7,1.09627,0.77565,1.33353,0.91365,0.87379,0.93595,0.68828,1.03746,0.74251,1.30521,0.004984,0.004984,0.004984
78,12157.6,1.09681,0.77019,1.32612,0.91763,0.87433,0.93483,0.69202,1.04097,0.73236,1.30816,0.004918,0.004918,0.004918
