epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.671,1.94085,2.20963,2.18615,0.48219,0.38164,0.34227,0.15326,2.33479,2.60437,2.36158,0.0700308,0.00332991,0.00332991
2,432.015,1.83491,1.94626,2.08077,0.67607,0.42715,0.5091,0.21039,2.11116,2.36546,2.26904,0.0399978,0.00663026,0.00663026
3,634.782,1.73497,1.78164,1.9874,0.54355,0.5085,0.47125,0.19732,2.04341,2.16376,2.09227,0.00993183,0.00989761,0.00989761
4,837.128,1.71427,1.71643,1.96304,0.66363,0.48215,0.53299,0.23808,1.99717,2.16174,2.0226,0.0098515,0.0098515,0.0098515
5,1041.06,1.64615,1.59626,1.90654,0.68427,0.57779,0.59023,0.27381,1.89589,2.18978,2.01545,0.009802,0.009802,0.009802
6,1246.4,1.63785,1.55034,1.89694,0.65194,0.56169,0.57624,0.25886,1.96165,2.34594,2.04284,0.0097525,0.0097525,0.0097525
7,1443.56,1.57247,1.50538,1.84836,0.69094,0.63616,0.68668,0.31345,1.88913,1.56376,1.92973,0.009703,0.009703,0.009703
8,1604.8,1.57198,1.44827,1.82871,0.69606,0.61946,0.6807,0.31454,1.8725,1.66837,1.93013,0.0096535,0.0096535,0.0096535
9,1812.33,1.54478,1.43906,1.81452,0.71873,0.63716,0.70884,0.32187,1.84751,1.62748,1.89445,0.009604,0.009604,0.009604
10,2019.44,1.53584,1.39582,1.79667,0.74056,0.63055,0.68248,0.33805,1.75951,1.60078,1.83144,0.0095545,0.0095545,0.0095545
11,2227.98,1.5129,1.37023,1.77892,0.77799,0.62464,0.7237,0.37026,1.72425,1.49596,1.78675,0.009505,0.009505,0.009505
12,2436.36,1.4816,1.32212,1.75579,0.78016,0.66536,0.74745,0.38159,1.73263,1.4858,1.79315,0.0094555,0.0094555,0.0094555
13,2646.08,1.47842,1.321,1.75233,0.78293,0.6748,0.74001,0.36163,1.80485,1.47298,1.85469,0.009406,0.009406,0.009406
14,2848.85,1.47012,1.30352,1.74405,0.76314,0.67,0.73121,0.33993,1.86881,1.62891,1.89079,0.0093565,0.0093565,0.0093565
15,3054.68,1.48086,1.2867,1.75209,0.68685,0.68503,0.73646,0.35006,1.79607,1.45121,1.82586,0.009307,0.009307,0.009307
16,3257.07,1.45454,1.25191,1.72795,0.76469,0.71397,0.77679,0.37862,1.76244,1.35584,1.7923,0.0092575,0.0092575,0.0092575
17,3464.16,1.45999,1.26669,1.7321,0.76101,0.71457,0.77573,0.41316,1.63626,1.30479,1.74133,0.009208,0.009208,0.009208
18,3611.61,1.4387,1.22747,1.7156,0.78522,0.70732,0.74735,0.37387,1.76865,1.40563,1.81997,0.0091585,0.0091585,0.0091585
19,3812.91,1.41385,1.21782,1.70329,0.76393,0.71422,0.77681,0.37232,1.80356,1.35467,1.8298,0.009109,0.009109,0.009109
20,4013.17,1.43485,1.22218,1.71634,0.68813,0.69448,0.73001,0.38611,1.6628,1.43911,1.75629,0.0090595,0.0090595,0.0090595
21,4215.02,1.42702,1.20374,1.70772,0.73676,0.7021,0.77448,0.40095,1.69635,1.36344,1.75697,0.00901,0.00901,0.00901
22,4415.1,1.40582,1.16985,1.68039,0.8196,0.71489,0.7853,0.41402,1.72345,1.31316,1.77356,0.0089605,0.0089605,0.0089605
