epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1271,1.81832,2.15686,2.00928,0.1812,0.49259,0.10815,0.02508,2.89052,38.9724,3.47818,0.070123,0.00331967,0.00331967
2,82.8329,1.84715,1.9193,2.07308,0.40368,0.66717,0.34522,0.13486,2.18018,8.35178,2.23141,0.04009,0.00662007,0.00662007
3,121.506,1.72466,1.70099,1.95002,0.44757,0.47044,0.45001,0.17836,2.04958,2.75301,2.15571,0.0100241,0.00988747,0.00988747
4,160.031,1.68501,1.63638,1.92694,0.40049,0.42622,0.35631,0.13755,2.21198,3.00326,2.22772,0.0098515,0.0098515,0.0098515
5,198.592,1.63255,1.54725,1.87622,0.63262,0.51039,0.54652,0.2241,2.00781,1.97563,2.01877,0.009802,0.009802,0.009802
6,237.365,1.60157,1.47277,1.84492,0.57737,0.43712,0.43771,0.19348,2.02793,2.46562,2.05269,0.0097525,0.0097525,0.0097525
7,275.911,1.55282,1.4063,1.80006,0.68489,0.57929,0.64793,0.27628,1.97013,1.86547,2.02459,0.009703,0.009703,0.009703
8,314.462,1.53861,1.40073,1.79498,0.52462,0.49505,0.5081,0.22031,1.98412,1.88523,2.00611,0.0096535,0.0096535,0.0096535
9,353.257,1.52691,1.37068,1.78714,0.70676,0.60205,0.64446,0.29728,1.90998,1.64937,1.96748,0.009604,0.009604,0.009604
10,392.027,1.49462,1.31251,1.75233,0.56541,0.54046,0.53758,0.25283,1.94621,1.88325,1.98149,0.0095545,0.0095545,0.0095545
11,430.598,1.48463,1.27949,1.74003,0.74398,0.64846,0.69764,0.31445,1.84073,1.67065,1.86365,0.009505,0.009505,0.009505
12,469.268,1.48369,1.25698,1.73312,0.72099,0.61835,0.71364,0.34706,1.81976,1.52764,1.84775,0.0094555,0.0094555,0.0094555
13,507.994,1.45712,1.24679,1.70944,0.69535,0.58178,0.6533,0.33001,1.88314,1.62627,1.90888,0.009406,0.009406,0.009406
14,546.73,1.44739,1.22759,1.71303,0.71687,0.62265,0.67278,0.32817,1.90439,1.81639,1.9367,0.0093565,0.0093565,0.0093565
15,585.552,1.45355,1.21885,1.71022,0.73518,0.6291,0.70746,0.31932,1.89762,1.54518,1.91951,0.009307,0.009307,0.009307
16,624.408,1.42458,1.20298,1.68815,0.75701,0.64348,0.71013,0.36095,1.78007,1.50789,1.81914,0.0092575,0.0092575,0.0092575
17,663.104,1.42352,1.17699,1.68346,0.76502,0.63115,0.69441,0.35874,1.78783,1.57333,1.83053,0.009208,0.009208,0.009208
18,701.895,1.40176,1.14786,1.66762,0.7825,0.69514,0.75236,0.39953,1.71353,1.42772,1.76474,0.0091585,0.0091585,0.0091585
19,740.734,1.38979,1.14287,1.65508,0.73565,0.67521,0.71741,0.35648,1.76937,1.47976,1.77357,0.009109,0.009109,0.009109
20,779.489,1.38237,1.12941,1.65121,0.79783,0.67759,0.76343,0.36874,1.77259,1.29385,1.7564,0.0090595,0.0090595,0.0090595
21,818.347,1.38319,1.11763,1.63949,0.66669,0.63178,0.73218,0.38649,1.67563,1.44347,1.73277,0.00901,0.00901,0.00901
22,858.576,1.34793,1.07963,1.60539,0.74083,0.6408,0.71,0.37162,1.72803,1.39103,1.74681,0.0089605,0.0089605,0.0089605
23,897.49,1.36199,1.08852,1.62926,0.75547,0.59177,0.66686,0.32466,1.89643,1.49805,1.85156,0.008911,0.008911,0.008911
24,936.22,1.34544,1.073,1.61524,0.83785,0.67322,0.7622,0.39397,1.72436,1.35576,1.76402,0.0088615,0.0088615,0.0088615
25,976.495,1.34929,1.06606,1.61711,0.78689,0.65367,0.72393,0.34837,1.90284,1.38277,1.87374,0.008812,0.008812,0.008812
26,1015.46,1.34196,1.05277,1.60912,0.78399,0.74045,0.76854,0.41782,1.68844,1.28466,1.71371,0.0087625,0.0087625,0.0087625
27,1054.23,1.35383,1.06273,1.61568,0.75527,0.65444,0.72915,0.37156,1.74416,1.42889,1.76507,0.008713,0.008713,0.008713
28,1092.97,1.33618,1.03678,1.6045,0.69584,0.71725,0.75376,0.38762,1.74225,1.3553,1.75917,0.0086635,0.0086635,0.0086635
29,1131.78,1.33196,1.03791,1.60423,0.79424,0.71144,0.77594,0.40733,1.71015,1.22566,1.75603,0.008614,0.008614,0.008614
30,1171.74,1.31194,1.00865,1.58184,0.83463,0.78047,0.81762,0.4351,1.67103,1.17694,1.71237,0.0085645,0.0085645,0.0085645
31,1210.52,1.30357,1.01144,1.57599,0.84927,0.76757,0.83645,0.46094,1.65907,1.1013,1.69734,0.008515,0.008515,0.008515
32,1249.55,1.32684,1.01244,1.59046,0.84123,0.70883,0.80087,0.43106,1.65615,1.20208,1.68915,0.0084655,0.0084655,0.0084655
33,1289.57,1.30092,0.99319,1.57096,0.80361,0.7132,0.78339,0.41616,1.65359,1.20027,1.66634,0.008416,0.008416,0.008416
34,1328.52,1.30444,1.003,1.57197,0.79983,0.75187,0.81138,0.44222,1.63161,1.17024,1.66022,0.0083665,0.0083665,0.0083665
35,1367.24,1.28019,0.97183,1.55341,0.7961,0.71507,0.79019,0.44049,1.63845,1.16965,1.70453,0.008317,0.008317,0.008317
36,1407.48,1.29316,0.98999,1.56492,0.82076,0.77919,0.8184,0.42091,1.6653,1.18173,1.70975,0.0082675,0.0082675,0.0082675
37,1446.37,1.28531,0.98166,1.5584,0.81701,0.74871,0.81097,0.46029,1.54188,1.12697,1.59671,0.008218,0.008218,0.008218
38,1485.2,1.29074,0.96555,1.55698,0.84521,0.76838,0.82618,0.47196,1.57927,1.09711,1.64341,0.0081685,0.0081685,0.0081685
39,1525.36,1.28352,0.98918,1.56324,0.86581,0.75829,0.81586,0.45674,1.59083,1.12908,1.63406,0.008119,0.008119,0.008119
40,1564.14,1.27726,0.97183,1.55363,0.84739,0.75997,0.83964,0.48286,1.5414,1.04021,1.5879,0.0080695,0.0080695,0.0080695
41,1603.01,1.27215,0.96394,1.54816,0.80546,0.75937,0.81659,0.44753,1.70231,1.10942,1.71615,0.00802,0.00802,0.00802
42,1643.12,1.26433,0.9431,1.53249,0.82836,0.78634,0.83057,0.47139,1.59611,1.06461,1.61717,0.0079705,0.0079705,0.0079705
43,1681.94,1.2683,0.94475,1.53842,0.84768,0.7685,0.8236,0.46039,1.60111,1.10043,1.62762,0.007921,0.007921,0.007921
44,1720.82,1.25792,0.92402,1.53297,0.83667,0.77972,0.83708,0.47051,1.6063,1.07011,1.6339,0.0078715,0.0078715,0.0078715
45,1761.05,1.24627,0.92831,1.51604,0.8224,0.79067,0.84839,0.48386,1.53745,1.03291,1.5803,0.007822,0.007822,0.007822
46,1799.89,1.24659,0.90836,1.52159,0.84398,0.7861,0.85777,0.49311,1.53729,1.01716,1.5679,0.0077725,0.0077725,0.0077725
47,1838.67,1.25139,0.92293,1.52572,0.83652,0.76363,0.83722,0.48148,1.55393,1.08394,1.59442,0.007723,0.007723,0.007723
48,1879.2,1.25502,0.92889,1.52853,0.87793,0.79726,0.85923,0.49228,1.57495,0.98821,1.59392,0.0076735,0.0076735,0.0076735
49,1918.03,1.2367,0.91597,1.51161,0.84726,0.78096,0.85533,0.48075,1.59437,0.9917,1.59714,0.007624,0.007624,0.007624
50,1956.82,1.23626,0.90392,1.51219,0.87183,0.75776,0.85463,0.4919,1.55035,1.00136,1.58651,0.0075745,0.0075745,0.0075745
51,1996.92,1.23044,0.89537,1.51222,0.87544,0.80799,0.8598,0.4874,1.57749,0.95786,1.59012,0.007525,0.007525,0.007525
52,2035.67,1.22078,0.88887,1.49891,0.86913,0.80098,0.8529,0.50157,1.56206,0.98631,1.5723,0.0074755,0.0074755,0.0074755
53,2074.42,1.21868,0.88762,1.49883,0.86365,0.80398,0.86575,0.50888,1.53427,0.97364,1.56448,0.007426,0.007426,0.007426
54,2113.94,1.21533,0.88475,1.49885,0.86305,0.79868,0.85834,0.48626,1.57942,0.98159,1.60301,0.0073765,0.0073765,0.0073765
55,2152.66,1.21926,0.86887,1.50323,0.87329,0.78596,0.86698,0.50454,1.51249,0.92872,1.56505,0.007327,0.007327,0.007327
56,2192.26,1.20355,0.87253,1.48556,0.86726,0.8067,0.87831,0.50776,1.53409,0.92314,1.57759,0.0072775,0.0072775,0.0072775
57,2231.25,1.22497,0.87784,1.49392,0.86517,0.79986,0.85929,0.49457,1.57209,0.97168,1.57588,0.007228,0.007228,0.007228
58,2270,1.20845,0.87102,1.4957,0.87333,0.78976,0.86075,0.50491,1.52635,0.93713,1.56114,0.0071785,0.0071785,0.0071785
59,2310.31,1.20375,0.86722,1.49078,0.8644,0.81259,0.86928,0.50814,1.54082,0.96227,1.57933,0.007129,0.007129,0.007129
60,2349.01,1.21046,0.86893,1.4895,0.87308,0.82578,0.87563,0.5102,1.53466,0.92929,1.57091,0.0070795,0.0070795,0.0070795
61,2387.95,1.20236,0.86605,1.48784,0.86476,0.83854,0.88115,0.51552,1.53417,0.92597,1.57414,0.00703,0.00703,0.00703
62,2428.54,1.19756,0.85663,1.47865,0.86818,0.81607,0.86859,0.51091,1.52,0.93645,1.54745,0.0069805,0.0069805,0.0069805
63,2467.43,1.19635,0.85807,1.47379,0.86214,0.8284,0.87607,0.52263,1.49982,0.90422,1.52983,0.006931,0.006931,0.006931
64,2506.23,1.19056,0.85978,1.47339,0.86901,0.82883,0.88094,0.52477,1.48865,0.89018,1.52951,0.0068815,0.0068815,0.0068815
65,2546.23,1.18118,0.84699,1.46823,0.8825,0.821,0.87255,0.51769,1.50712,0.91669,1.54942,0.006832,0.006832,0.006832
66,2585.06,1.20351,0.86667,1.48324,0.85417,0.81918,0.87315,0.52623,1.47415,0.90346,1.51891,0.0067825,0.0067825,0.0067825
67,2623.87,1.17546,0.83786,1.46628,0.88154,0.82396,0.87643,0.51973,1.4957,0.89102,1.5227,0.006733,0.006733,0.006733
68,2664.11,1.17602,0.84557,1.46247,0.88433,0.81893,0.86812,0.5248,1.49019,0.90837,1.52177,0.0066835,0.0066835,0.0066835
69,2702.88,1.16969,0.81881,1.45303,0.87309,0.82009,0.87392,0.5313,1.47655,0.88405,1.51104,0.006634,0.006634,0.006634
70,2741.79,1.16555,0.82434,1.45098,0.86673,0.8168,0.87565,0.53038,1.49309,0.89152,1.52161,0.0065845,0.0065845,0.0065845
71,2782.21,1.16714,0.83117,1.45119,0.86744,0.8173,0.87576,0.53097,1.49079,0.90158,1.51834,0.006535,0.006535,0.006535
72,2821.05,1.15449,0.81081,1.44824,0.87457,0.81439,0.86871,0.52761,1.48446,0.89856,1.52376,0.0064855,0.0064855,0.0064855
73,2859.82,1.16652,0.8345,1.45138,0.88975,0.8079,0.87592,0.53193,1.47792,0.89306,1.51242,0.006436,0.006436,0.006436
74,2900.07,1.16842,0.82285,1.45446,0.8862,0.82983,0.8831,0.53677,1.47818,0.86962,1.52859,0.0063865,0.0063865,0.0063865
75,2938.9,1.16639,0.8209,1.45443,0.88503,0.81404,0.87994,0.52898,1.47071,0.87277,1.51906,0.006337,0.006337,0.006337
76,2977.53,1.15434,0.80141,1.44548,0.88466,0.83024,0.88198,0.53393,1.48023,0.86422,1.51376,0.0062875,0.0062875,0.0062875
77,3017.96,1.15422,0.81341,1.44586,0.87474,0.82916,0.88726,0.54264,1.46091,0.86395,1.49686,0.006238,0.006238,0.006238
78,3056.85,1.15117,0.8016,1.4387,0.87559,0.83316,0.8787,0.53717,1.47754,0.8827,1.51168,0.0061885,0.0061885,0.0061885
79,3095.74,1.13936,0.80221,1.43303,0.87253,0.82044,0.87485,0.53162,1.48128,0.87684,1.51158,0.006139,0.006139,0.006139
80,3135.28,1.14515,0.80232,1.43104,0.87639,0.82114,0.87536,0.53284,1.47731,0.87852,1.50986,0.0060895,0.0060895,0.0060895
81,3174.02,1.13522,0.80145,1.43189,0.88684,0.8201,0.88008,0.53873,1.47778,0.86485,1.51863,0.00604,0.00604,0.00604
82,3213.41,1.12925,0.7838,1.42637,0.87935,0.82404,0.88028,0.54243,1.47544,0.85588,1.51762,0.0059905,0.0059905,0.0059905
83,3252.26,1.12871,0.79223,1.42387,0.8854,0.82065,0.87939,0.5458,1.45298,0.85096,1.50055,0.005941,0.005941,0.005941
84,3291.03,1.1284,0.78649,1.42278,0.87722,0.82322,0.88069,0.5409,1.47527,0.84973,1.51209,0.0058915,0.0058915,0.0058915
85,3331.13,1.11339,0.7814,1.41476,0.89778,0.81981,0.88235,0.54444,1.47738,0.83877,1.51373,0.005842,0.005842,0.005842
86,3369.91,1.12081,0.78583,1.42426,0.89129,0.8296,0.88655,0.53873,1.48855,0.85041,1.52293,0.0057925,0.0057925,0.0057925
87,3408.81,1.11511,0.78457,1.41506,0.89624,0.83067,0.8904,0.54002,1.47774,0.8443,1.51627,0.005743,0.005743,0.005743
88,3449.27,1.10964,0.77069,1.41017,0.90148,0.8234,0.88869,0.54139,1.46763,0.84503,1.51108,0.0056935,0.0056935,0.0056935
89,3488.11,1.09787,0.76675,1.40513,0.89622,0.83255,0.8885,0.54316,1.4854,0.84281,1.52295,0.005644,0.005644,0.005644
90,3526.84,1.11196,0.77039,1.41743,0.90097,0.83348,0.89139,0.53877,1.48358,0.83682,1.52109,0.0055945,0.0055945,0.0055945
91,3567.19,1.09981,0.75588,1.40166,0.90246,0.83729,0.89333,0.54108,1.48105,0.83926,1.52245,0.005545,0.005545,0.005545
92,3606.19,1.07976,0.74994,1.39437,0.89712,0.83106,0.89021,0.53771,1.48025,0.83411,1.52758,0.0054955,0.0054955,0.0054955
93,3645.03,1.09648,0.76542,1.40421,0.89796,0.83348,0.89047,0.53706,1.4866,0.82964,1.53386,0.005446,0.005446,0.005446
94,3684.96,1.09732,0.76015,1.40256,0.89565,0.81874,0.88818,0.53883,1.48568,0.82481,1.52775,0.0053965,0.0053965,0.0053965
95,3723.75,1.08804,0.75729,1.40015,0.88817,0.82873,0.88462,0.5407,1.48113,0.83007,1.52679,0.005347,0.005347,0.005347
96,3762.46,1.07811,0.75221,1.38964,0.89169,0.82774,0.88728,0.53739,1.47887,0.82732,1.52602,0.0052975,0.0052975,0.0052975
97,3802.86,1.08579,0.75626,1.39448,0.89262,0.83826,0.89281,0.53895,1.48668,0.82396,1.53215,0.005248,0.005248,0.005248
98,3841.66,1.07904,0.7335,1.3905,0.90485,0.82493,0.88613,0.53893,1.4875,0.81245,1.53329,0.0051985,0.0051985,0.0051985
99,3880.44,1.07133,0.74235,1.38745,0.89667,0.82776,0.8874,0.54028,1.47997,0.81111,1.52808,0.005149,0.005149,0.005149
100,3920.7,1.06692,0.74487,1.37469,0.89502,0.83158,0.88917,0.54178,1.47988,0.81664,1.53299,0.0050995,0.0050995,0.0050995
101,3959.49,1.06609,0.73912,1.37975,0.89073,0.83383,0.88887,0.54415,1.4731,0.81913,1.52876,0.00505,0.00505,0.00505
102,3998.29,1.06915,0.73074,1.3761,0.8917,0.83668,0.887,0.54432,1.46429,0.82387,1.51948,0.0050005,0.0050005,0.0050005
103,4038.51,1.068,0.73502,1.37958,0.88962,0.83539,0.88823,0.54449,1.46605,0.82313,1.51908,0.004951,0.004951,0.004951
