epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.387,1.69411,2.4121,2.01102,0.01317,0.1524,0.00815,0.00302,3.12135,11.3885,3.65472,0.070123,0.00331967,0.00331967
2,351.053,1.70908,2.1287,2.05086,0.44669,0.42966,0.32762,0.1761,2.09451,3.05951,2.42626,0.0400571,0.00658714,0.00658714
3,519.824,1.61782,1.89992,1.9499,0.57635,0.43963,0.46056,0.23385,2.10963,2.57116,2.59496,0.00992522,0.00978861,0.00978861
4,686.877,1.56294,1.81057,1.8999,0.48049,0.43081,0.41699,0.19031,2.04974,2.23951,2.33577,0.009703,0.009703,0.009703
5,857.69,1.52384,1.75802,1.84725,0.40089,0.50161,0.47577,0.26555,1.85547,1.97861,2.03511,0.009604,0.009604,0.009604
6,1027.43,1.48326,1.64722,1.81827,0.4588,0.47857,0.48847,0.26806,1.70282,1.88478,1.88718,0.009505,0.009505,0.009505
7,1194.18,1.44732,1.60783,1.78346,0.52687,0.41639,0.33704,0.17552,1.96134,3.2383,2.27496,0.009406,0.009406,0.009406
8,1359.64,1.42333,1.54097,1.74821,0.58321,0.5488,0.57309,0.32368,1.72449,1.81685,1.91428,0.009307,0.009307,0.009307
9,1528,1.4179,1.51025,1.75932,0.43006,0.47159,0.46985,0.27107,1.76414,1.9063,1.93472,0.009208,0.009208,0.009208
10,1696.1,1.40682,1.50903,1.75472,0.46373,0.50567,0.48345,0.26725,1.80274,2.09169,1.99515,0.009109,0.009109,0.009109
11,1865.49,1.36648,1.43414,1.71016,0.68573,0.47397,0.54304,0.30644,1.78622,1.84013,2.06476,0.00901,0.00901,0.00901
12,2004.35,1.35214,1.44237,1.71015,0.62523,0.55095,0.58982,0.3402,1.6479,1.68413,1.84623,0.008911,0.008911,0.008911
13,2143.73,1.33103,1.40758,1.6913,0.63801,0.62517,0.62862,0.35959,1.64081,1.56002,1.86335,0.008812,0.008812,0.008812
14,2312.44,1.35165,1.38974,1.71725,0.50934,0.46924,0.50139,0.31054,1.66055,1.96874,1.82045,0.008713,0.008713,0.008713
15,2487.32,1.30812,1.34599,1.66803,0.65387,0.61335,0.65533,0.37715,1.63767,1.59748,1.8958,0.008614,0.008614,0.008614
16,2656.26,1.29989,1.33058,1.66085,0.70713,0.5064,0.55032,0.2797,1.90364,2.00304,2.07707,0.008515,0.008515,0.008515
17,2830.88,1.29545,1.32773,1.65281,0.68308,0.61692,0.65536,0.37812,1.71162,1.47798,1.95974,0.008416,0.008416,0.008416
18,3001.61,1.313,1.28998,1.65125,0.71438,0.58903,0.66738,0.37632,1.61165,1.53917,1.90475,0.008317,0.008317,0.008317
19,3171.26,1.29102,1.28375,1.65444,0.70654,0.67966,0.72057,0.40333,1.52114,1.38594,1.72454,0.008218,0.008218,0.008218
20,3339.79,1.28455,1.28344,1.62998,0.72882,0.69693,0.72843,0.4138,1.55204,1.33923,1.72999,0.008119,0.008119,0.008119
21,3509.76,1.28117,1.26628,1.62363,0.74969,0.71526,0.75261,0.43998,1.49285,1.244,1.69818,0.00802,0.00802,0.00802
22,3681.9,1.24952,1.24626,1.61291,0.6508,0.56355,0.60468,0.35948,1.58689,1.67825,1.75545,0.007921,0.007921,0.007921
23,3845.22,1.24612,1.21252,1.61053,0.73722,0.71141,0.74123,0.4394,1.5105,1.18936,1.71661,0.007822,0.007822,0.007822
24,4013.28,1.25557,1.19844,1.60274,0.80837,0.66277,0.74298,0.43348,1.54886,1.30168,1.75596,0.007723,0.007723,0.007723
25,4179.32,1.22928,1.19205,1.59939,0.74957,0.64835,0.71651,0.42298,1.51394,1.34764,1.72315,0.007624,0.007624,0.007624
26,4347.97,1.23707,1.19058,1.60287,0.59544,0.58537,0.62032,0.37017,1.54433,1.58568,1.70555,0.007525,0.007525,0.007525
