epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8924,1.46553,1.76413,1.73456,0.05663,0.07324,0.01941,0.00802,3.03644,5.39091,3.62186,0.0701136,0.00332071,0.00332071
2,92.8725,1.47997,1.63163,1.73648,0.29615,0.30224,0.23648,0.07026,2.46928,2.30735,2.80071,0.0400587,0.00659914,0.00659914
3,135.323,1.3861,1.47046,1.65873,0.24117,0.25545,0.14647,0.0527,2.27962,2.65031,2.60017,0.00994884,0.00982258,0.00982258
4,178.667,1.36689,1.4404,1.63528,0.45942,0.40563,0.30808,0.11321,2.35275,2.6244,2.9974,0.0097525,0.0097525,0.0097525
5,221.033,1.29626,1.34547,1.58116,0.30773,0.35681,0.27891,0.10713,2.111,2.08763,2.24856,0.00967,0.00967,0.00967
6,263.293,1.25024,1.28907,1.5511,0.65501,0.64883,0.65509,0.32254,1.62375,1.57221,1.86534,0.0095875,0.0095875,0.0095875
7,305.773,1.24322,1.2628,1.54092,0.65372,0.64601,0.67389,0.32277,1.67663,1.47136,1.90972,0.009505,0.009505,0.009505
8,348.151,1.22753,1.25598,1.52517,0.25184,0.18404,0.14004,0.05129,2.61716,2.61891,2.54726,0.0094225,0.0094225,0.0094225
9,390.447,1.20112,1.2126,1.50997,0.66049,0.56995,0.63203,0.34026,1.50794,1.62614,1.7596,0.00934,0.00934,0.00934
10,432.954,1.18816,1.18921,1.50184,0.57849,0.55928,0.57261,0.26969,1.74732,1.71615,2.023,0.0092575,0.0092575,0.0092575
11,478.199,1.17265,1.16257,1.48559,0.64631,0.52582,0.57962,0.30684,1.53955,1.61162,1.74401,0.009175,0.009175,0.009175
12,522.875,1.1773,1.16635,1.49133,0.70356,0.5108,0.55887,0.26309,1.80848,1.87266,2.22336,0.0090925,0.0090925,0.0090925
13,568.998,1.16249,1.15637,1.48547,0.72953,0.66854,0.73328,0.40578,1.45389,1.35503,1.68002,0.00901,0.00901,0.00901
14,617.123,1.13797,1.11983,1.46226,0.64133,0.54398,0.59868,0.33463,1.47377,1.56412,1.77549,0.0089275,0.0089275,0.0089275
15,664.72,1.14858,1.12212,1.46975,0.65077,0.61239,0.65918,0.35752,1.36866,1.37004,1.61537,0.008845,0.008845,0.008845
16,709.571,1.13347,1.097,1.4599,0.57316,0.49108,0.50807,0.22411,1.74944,1.65504,1.92059,0.0087625,0.0087625,0.0087625
17,756.249,1.12556,1.10363,1.45844,0.55483,0.49577,0.52922,0.26362,1.55966,1.66535,1.74826,0.00868,0.00868,0.00868
18,798.57,1.11249,1.0768,1.44798,0.68121,0.55579,0.61481,0.33104,1.49784,1.45696,1.74089,0.0085975,0.0085975,0.0085975
19,842.189,1.12801,1.0801,1.45529,0.77599,0.70516,0.77857,0.45925,1.35266,1.11047,1.62174,0.008515,0.008515,0.008515
