epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2569,1.59913,2.08633,1.83144,0.14969,0.2004,0.07557,0.02332,2.55805,191.768,3.68454,0.0701261,0.00331933,0.00331933
2,82.0473,1.6637,1.99903,1.85378,0.46339,0.42084,0.38672,0.17445,1.82564,26.9183,2.16456,0.0400712,0.00659778,0.00659778
3,119.714,1.55815,1.88833,1.78843,0.39661,0.43287,0.3946,0.14791,2.00083,62.3947,2.27903,0.00996128,0.00982123,0.00982123
4,157.157,1.49345,1.77129,1.73398,0.30298,0.32866,0.20678,0.08224,2.24575,27.4951,2.61109,0.0097525,0.0097525,0.0097525
5,194.749,1.44567,1.67403,1.69286,0.58281,0.37475,0.42197,0.2112,1.7997,3.21774,2.05832,0.00967,0.00967,0.00967
6,232.455,1.41403,1.5915,1.6663,0.26144,0.4489,0.23826,0.08279,2.37277,18.9617,2.83002,0.0095875,0.0095875,0.0095875
7,270.332,1.37079,1.56744,1.63405,0.57794,0.48898,0.49536,0.22171,1.89248,18.3187,2.16462,0.009505,0.009505,0.009505
8,308.095,1.36005,1.51692,1.62954,0.55637,0.52505,0.52293,0.24759,1.71449,14.3054,2.04538,0.0094225,0.0094225,0.0094225
9,345.844,1.34573,1.50615,1.60821,0.58063,0.54382,0.52212,0.24794,1.63269,10.7941,1.88131,0.00934,0.00934,0.00934
10,383.664,1.30708,1.4615,1.59612,0.55684,0.53132,0.54869,0.28348,1.73099,5.22843,1.95185,0.0092575,0.0092575,0.0092575
11,421.463,1.32052,1.44764,1.58892,0.58326,0.59319,0.60978,0.28075,1.5758,3.10334,1.84768,0.009175,0.009175,0.009175
12,459.296,1.30313,1.44687,1.5804,0.46906,0.39078,0.39983,0.17327,1.69789,3.40677,1.94021,0.0090925,0.0090925,0.0090925
13,497.031,1.29456,1.43736,1.57643,0.58077,0.40681,0.49799,0.25735,1.7624,2.93051,1.98236,0.00901,0.00901,0.00901
14,534.83,1.28926,1.41259,1.57853,0.62142,0.62325,0.64109,0.31828,1.57657,5.78041,1.8013,0.0089275,0.0089275,0.0089275
15,572.881,1.27282,1.39175,1.56375,0.63466,0.55004,0.59059,0.31802,1.53726,6.68212,1.80134,0.008845,0.008845,0.008845
