epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.277,2.06685,2.63703,2.15987,0.167,0.18688,0.1107,0.03763,2.41125,5.30493,2.53795,0.0700245,0.00333061,0.00333061
2,459.114,1.91922,2.38148,2.0256,0.34211,0.34314,0.28302,0.11313,2.19196,2.80117,2.52716,0.0399915,0.00663095,0.00663095
3,675.713,1.81867,2.22633,1.92486,0.41045,0.40652,0.38342,0.16243,1.92723,2.38026,2.04738,0.00992556,0.0098983,0.0098983
4,891.335,1.73879,2.07849,1.85428,0.51617,0.39139,0.42311,0.18916,1.88206,2.12272,1.98538,0.0098515,0.0098515,0.0098515
5,1107.87,1.67882,1.96147,1.78859,0.56477,0.42741,0.48985,0.23335,1.86599,1.93558,1.95274,0.009802,0.009802,0.009802
6,1324.18,1.61548,1.90482,1.74859,0.61381,0.47695,0.53868,0.25858,1.75937,1.81256,1.88671,0.0097525,0.0097525,0.0097525
7,1540.8,1.59773,1.84017,1.73129,0.58642,0.45872,0.50303,0.23821,1.87552,1.86967,1.97805,0.009703,0.009703,0.009703
8,1757.18,1.56641,1.80577,1.70248,0.52442,0.47437,0.47551,0.24649,1.69297,1.99535,1.80408,0.0096535,0.0096535,0.0096535
9,1973.85,1.539,1.75843,1.68012,0.62374,0.48478,0.55074,0.29863,1.63567,1.74688,1.78199,0.009604,0.009604,0.009604
10,2190.53,1.52168,1.71227,1.67169,0.62757,0.56067,0.62007,0.32124,1.62995,1.60118,1.73845,0.0095545,0.0095545,0.0095545
11,2408,1.50528,1.68337,1.65822,0.61708,0.54202,0.57995,0.31117,1.60299,1.67304,1.714,0.009505,0.009505,0.009505
12,2624.54,1.49368,1.67155,1.64832,0.67261,0.56712,0.63738,0.32882,1.60954,1.54498,1.74876,0.0094555,0.0094555,0.0094555
13,2843.25,1.47922,1.65651,1.64548,0.62069,0.56821,0.6335,0.34669,1.50087,1.52139,1.64122,0.009406,0.009406,0.009406
14,3060.38,1.46214,1.61628,1.62158,0.60374,0.53806,0.58146,0.30227,1.58957,1.61406,1.69499,0.0093565,0.0093565,0.0093565
15,3277.66,1.45104,1.6035,1.62183,0.63761,0.58414,0.61846,0.32347,1.56475,1.62633,1.66881,0.009307,0.009307,0.009307
16,3494.47,1.45451,1.58431,1.61247,0.64672,0.57107,0.6139,0.34227,1.56911,1.62362,1.69421,0.0092575,0.0092575,0.0092575
