epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.445,1.69319,2.15421,1.77228,0.19528,0.36453,0.16017,0.05597,2.27455,9.72626,2.60648,0.070098,0.00332244,0.00332244
2,77.9983,1.7156,2.00248,1.80143,0.21317,0.14434,0.13873,0.0594,2.77128,3.00926,2.45873,0.0400614,0.00661917,0.00661917
3,112.909,1.65291,1.87498,1.73794,0.34353,0.35488,0.26444,0.10428,1.9404,3.84687,2.06627,0.00998816,0.00987923,0.00987923
4,146.241,1.61068,1.79942,1.70514,0.55413,0.39004,0.38409,0.16958,2.02788,2.49641,2.23849,0.009835,0.009835,0.009835
5,179.624,1.54276,1.68338,1.6478,0.62328,0.52161,0.57806,0.28115,1.67979,1.7947,1.8092,0.00978,0.00978,0.00978
6,212.977,1.52155,1.65092,1.62737,0.54486,0.48267,0.50103,0.24487,1.90559,2.04576,2.04698,0.009725,0.009725,0.009725
7,246.255,1.50097,1.59247,1.61078,0.63035,0.54013,0.57069,0.28269,1.75793,1.67805,1.84261,0.00967,0.00967,0.00967
8,279.604,1.46029,1.56532,1.57863,0.61916,0.57615,0.61868,0.30738,1.73366,1.72504,1.78974,0.009615,0.009615,0.009615
9,312.736,1.44245,1.52315,1.56349,0.69631,0.49255,0.57995,0.30289,1.6132,1.85896,1.76328,0.00956,0.00956,0.00956
10,345.962,1.44631,1.50816,1.57124,0.52587,0.51262,0.53494,0.27295,1.71972,1.77874,1.76862,0.009505,0.009505,0.009505
11,379.007,1.42659,1.47701,1.54968,0.6445,0.5724,0.6149,0.32225,1.58198,1.59515,1.69268,0.00945,0.00945,0.00945
12,412.369,1.40764,1.45129,1.53051,0.55819,0.37876,0.46241,0.23778,1.67014,2.00816,1.78025,0.009395,0.009395,0.009395
13,445.815,1.40471,1.44409,1.53667,0.65135,0.5791,0.61726,0.3218,1.56665,1.70101,1.68662,0.00934,0.00934,0.00934
14,479.351,1.38631,1.39477,1.52391,0.58457,0.65448,0.63563,0.32309,1.59418,1.47326,1.68504,0.009285,0.009285,0.009285
15,512.7,1.39153,1.41805,1.52817,0.67081,0.57774,0.63752,0.3458,1.53875,1.55943,1.6494,0.00923,0.00923,0.00923
16,546.047,1.38513,1.38804,1.52057,0.6264,0.61239,0.64472,0.34726,1.56678,1.497,1.66936,0.009175,0.009175,0.009175
17,579.369,1.36775,1.38053,1.51462,0.64849,0.56127,0.63598,0.33726,1.59452,1.6028,1.69389,0.00912,0.00912,0.00912
18,612.773,1.36575,1.35954,1.50939,0.75936,0.6215,0.7125,0.38694,1.5268,1.34548,1.63619,0.009065,0.009065,0.009065
19,646.068,1.35703,1.35044,1.50348,0.68534,0.6376,0.69957,0.39052,1.46471,1.43843,1.59177,0.00901,0.00901,0.00901
20,679.446,1.36795,1.36464,1.51381,0.69878,0.596,0.66981,0.3616,1.51511,1.49251,1.60433,0.008955,0.008955,0.008955
21,712.797,1.35097,1.34171,1.49874,0.76304,0.66816,0.75063,0.42016,1.43247,1.28008,1.55956,0.0089,0.0089,0.0089
22,745.939,1.33334,1.31489,1.48225,0.69706,0.62164,0.68409,0.36019,1.54578,1.42903,1.62686,0.008845,0.008845,0.008845
